RPT_TREATMENT_ID,ORGAN_ID,CLASS1,CLASS2,CLASS3,DISP_NAME,LOCAL_DISP_NAME,SINGULAR,LOCAL_SINGULAR
15029,1019,1000133822,5,0,brush sampling,Lấy Lấy mẫu bằng bàn chải,brush sampling,Lấy Lấy mẫu bằng bàn chải
15030,1019,1000133842,1,0,biopsy,Sinh thiết,biopsy,Sinh thiết
15031,1019,1000133842,3,0,complete piecemeal removal,Hoàn thành loại bỏ từng phần,complete piecemeal removal,Hoàn thành loại bỏ từng phần
15032,1019,1000133842,4,0,en-bloc removal,loại bỏ en-bloc,en-bloc removal,loại bỏ en-bloc
15033,1019,1000133842,5,0,brush sampling,Lấy Lấy mẫu bằng bàn chải,brush sampling,Lấy Lấy mẫu bằng bàn chải
15034,1019,1000133842,6,0,fluid sampling,Lấy Lấy mẫu chất lỏng,fluid sampling,Lấy Lấy mẫu chất lỏng
15035,1019,1000133842,2,0,incomplete piecemeal removal,Loại bỏ mảnh vụn không hoàn chỉnh,incomplete piecemeal removal,Loại bỏ mảnh vụn không hoàn chỉnh
15036,1019,1000133822,4,0,en-bloc removal,loại bỏ en-bloc,en-bloc removal,loại bỏ en-bloc
15037,1019,1000133822,3,0,complete piecemeal removal,Hoàn thành loại bỏ từng phần,complete piecemeal removal,Hoàn thành loại bỏ từng phần
15038,1019,1000133822,2,0,incomplete piecemeal removal,Loại bỏ mảnh vụn không hoàn chỉnh,incomplete piecemeal removal,Loại bỏ mảnh vụn không hoàn chỉnh
15039,1019,1000133822,0,0,type,Phân loại,type,Phân loại
15040,1019,1000133822,1,0,biopsy,Sinh thiết,biopsy,Sinh thiết
15041,1019,1000133912,0,0,type,Phân loại,type,Phân loại
15042,1019,1000133912,1,0,biopsy,Sinh thiết,biopsy,Sinh thiết
15043,1019,1000133912,3,0,complete piecemeal removal,Hoàn thành loại bỏ từng phần,complete piecemeal removal,Hoàn thành loại bỏ từng phần
15044,1019,1000133912,4,0,en-bloc removal,loại bỏ en-bloc,en-bloc removal,loại bỏ en-bloc
15045,1019,1000133912,5,0,brush sampling,Lấy Lấy mẫu bằng bàn chải,brush sampling,Lấy Lấy mẫu bằng bàn chải
15046,1019,1000133912,6,0,fluid sampling,Lấy Lấy mẫu chất lỏng,fluid sampling,Lấy Lấy mẫu chất lỏng
15047,1019,1000133912,2,0,incomplete piecemeal removal,Loại bỏ mảnh vụn không hoàn chỉnh,incomplete piecemeal removal,Loại bỏ mảnh vụn không hoàn chỉnh
15048,1019,1000133872,0,0,type,Phân loại,type,Phân loại
15049,1019,1000133872,1,0,biopsy,Sinh thiết,biopsy,Sinh thiết
15050,1019,1000133872,2,0,incomplete piecemeal removal,Loại bỏ mảnh vụn không hoàn chỉnh,incomplete piecemeal removal,Loại bỏ mảnh vụn không hoàn chỉnh
15051,1019,1000133872,3,0,complete piecemeal removal,Hoàn thành loại bỏ từng phần,complete piecemeal removal,Hoàn thành loại bỏ từng phần
15052,1019,1000133872,4,0,en-bloc removal,loại bỏ en-bloc,en-bloc removal,loại bỏ en-bloc
15053,1019,1000133872,5,0,brush sampling,Lấy Lấy mẫu bằng bàn chải,brush sampling,Lấy Lấy mẫu bằng bàn chải
15054,1019,1000133872,6,0,fluid sampling,Lấy Lấy mẫu chất lỏng,fluid sampling,Lấy Lấy mẫu chất lỏng
15055,1019,1000133782,6,0,fluid sampling,Lấy Lấy mẫu chất lỏng,fluid sampling,Lấy Lấy mẫu chất lỏng
15056,1019,1000133782,5,0,brush sampling,Lấy Lấy mẫu bằng bàn chải,brush sampling,Lấy Lấy mẫu bằng bàn chải
15057,1019,1000133642,0,0,type,Phân loại,type,Phân loại
15058,1019,1000133642,1,0,biopsy,Sinh thiết,biopsy,Sinh thiết
15059,1019,1000133642,2,0,incomplete piecemeal removal,Loại bỏ mảnh vụn không hoàn chỉnh,incomplete piecemeal removal,Loại bỏ mảnh vụn không hoàn chỉnh
15060,1019,1000133642,3,0,complete piecemeal removal,Hoàn thành loại bỏ từng phần,complete piecemeal removal,Hoàn thành loại bỏ từng phần
15061,1019,1000133642,4,0,en-bloc removal,loại bỏ en-bloc,en-bloc removal,loại bỏ en-bloc
15062,1019,1000133642,5,0,brush sampling,Lấy Lấy mẫu bằng bàn chải,brush sampling,Lấy Lấy mẫu bằng bàn chải
15063,1019,1000133642,6,0,fluid sampling,Lấy Lấy mẫu chất lỏng,fluid sampling,Lấy Lấy mẫu chất lỏng
15064,1019,1000133552,1,0,biopsy,Sinh thiết,biopsy,Sinh thiết
15065,1019,1000133552,2,0,incomplete piecemeal removal,Loại bỏ mảnh vụn không hoàn chỉnh,incomplete piecemeal removal,Loại bỏ mảnh vụn không hoàn chỉnh
15066,1019,1000133552,3,0,complete piecemeal removal,Hoàn thành loại bỏ từng phần,complete piecemeal removal,Hoàn thành loại bỏ từng phần
15067,1019,1000133552,4,0,en-bloc removal,loại bỏ en-bloc,en-bloc removal,loại bỏ en-bloc
15068,1019,1000133552,5,0,brush sampling,Lấy Lấy mẫu bằng bàn chải,brush sampling,Lấy Lấy mẫu bằng bàn chải
15069,1019,1000133552,6,0,fluid sampling,Lấy Lấy mẫu chất lỏng,fluid sampling,Lấy Lấy mẫu chất lỏng
15070,1019,1000133782,0,0,type,Phân loại,type,Phân loại
15071,1019,1000133782,1,0,biopsy,Sinh thiết,biopsy,Sinh thiết
15072,1019,1000133782,2,0,incomplete piecemeal removal,Loại bỏ mảnh vụn không hoàn chỉnh,incomplete piecemeal removal,Loại bỏ mảnh vụn không hoàn chỉnh
15073,1019,1000133782,3,0,complete piecemeal removal,Hoàn thành loại bỏ từng phần,complete piecemeal removal,Hoàn thành loại bỏ từng phần
15074,1019,1000133782,4,0,en-bloc removal,loại bỏ en-bloc,en-bloc removal,loại bỏ en-bloc
15075,1019,1000133742,0,0,type,Phân loại,type,Phân loại
15076,1019,1000133742,1,0,biopsy,Sinh thiết,biopsy,Sinh thiết
15077,1019,1000133742,2,0,incomplete piecemeal removal,Loại bỏ mảnh vụn không hoàn chỉnh,incomplete piecemeal removal,Loại bỏ mảnh vụn không hoàn chỉnh
15078,1019,1000133742,3,0,complete piecemeal removal,Hoàn thành loại bỏ từng phần,complete piecemeal removal,Hoàn thành loại bỏ từng phần
15079,1019,1000133742,4,0,en-bloc removal,loại bỏ en-bloc,en-bloc removal,loại bỏ en-bloc
15080,1019,1000133742,5,0,brush sampling,Lấy Lấy mẫu bằng bàn chải,brush sampling,Lấy Lấy mẫu bằng bàn chải
15081,1019,1000133742,6,0,fluid sampling,Lấy Lấy mẫu chất lỏng,fluid sampling,Lấy Lấy mẫu chất lỏng
15082,1019,1000133553,0,0,Number,Số,Number,Số
15083,1019,1000133611,1,0,[Free_Text],[Free_Text], $ , $ 
15084,1019,1000133611,0,0,Number,Số,Number,Số
15085,1019,1000133581,1,0,[Free_Text],[Free_Text], $ , $ 
15086,1019,1000133581,0,0,Number,Số,Number,Số
15087,1019,1000133553,1,0,[Free_Text],[Free_Text], $ , $ 
15088,1019,1000133981,0,0,Number,Số,Number,Số
15089,1019,1000133981,1,0,[Free_Text],[Free_Text], $ , $ 
15090,1019,1000133554,0,0,result,Kết quả,result,Kết quả
15091,1019,1000133982,0,0,result,Kết quả,result,Kết quả
15092,1019,1000133612,2,0,Failure,Thất bại,Failure,Thất bại
15093,1019,1000133612,1,0,Success,Thành công,Success,Thành công
15094,1019,1000133612,0,0,result,Kết quả,result,Kết quả
15095,1019,1000133982,1,0,Success,Thành công,Success,Thành công
15096,1019,1000133582,2,0,Failure,Thất bại,Failure,Thất bại
15097,1019,1000133582,1,0,Success,Thành công,Success,Thành công
15098,1019,1000133582,0,0,result,Kết quả,result,Kết quả
15099,1019,1000133554,2,0,Failure,Thất bại,Failure,Thất bại
15100,1019,1000133554,1,0,Success,Thành công,Success,Thành công
15101,1019,1000133982,2,0,Failure,Thất bại,Failure,Thất bại
15102,1019,1000133583,0,0,Material,Vật liệu,Material,Vật liệu
15103,1019,1000133983,0,0,Material,Vật liệu,Material,Vật liệu
15104,1019,1000133951,2,0,Epinephrine,Epinephrine,Epinephrine,Epinephrine
15105,1019,1000133951,1,0,Histoacryl + lipiodol,Histoacryl + lipiodol,Histoacryl + lipiodol,Histoacryl + lipiodol
15106,1019,1000133951,0,0,Material,Vật liệu,Material,Vật liệu
15107,1019,1000133583,2,0,Epinephrine,Epinephrine,Epinephrine,Epinephrine
15108,1019,1000133583,1,0,Histoacryl + lipiodol,Histoacryl + lipiodol,Histoacryl + lipiodol,Histoacryl + lipiodol
15109,1019,1000133983,1,0,Histoacryl + lipiodol,Histoacryl + lipiodol,Histoacryl + lipiodol,Histoacryl + lipiodol
15110,1019,1000133983,2,0,Epinephrine,Epinephrine,Epinephrine,Epinephrine
15111,1019,1000133584,0,0,volume,Thể tích,volume,Thể tích
15112,1019,1000133952,1,0, [Free_Text]  ml,[Free_Text] mm,$ ml,$ ml
15113,1019,1000133952,0,0,volume,Thể tích,volume,Thể tích
15114,1019,1000133584,1,0, [Free_Text]  ml,[Free_Text] mm,$ ml,$ ml
15115,1019,1000133984,0,0,volume,Thể tích,volume,Thể tích
15116,1019,1000133984,1,0, [Free_Text]  ml,[Free_Text] mm,$ ml,$ ml
15117,1019,1000133585,0,0,Result,Kết quả,Result,Kết quả
15118,1019,1000133985,0,0,Result,Kết quả,Result,Kết quả
15119,1019,1000133953,2,0,Failure,Thất bại,Failure,Thất bại
15120,1019,1000133953,1,0,Success,Thành công,Success,Thành công
15121,1019,1000133953,0,0,Result,Kết quả,Result,Kết quả
15122,1019,1000133585,2,0,Failure,Thất bại,Failure,Thất bại
15123,1019,1000133585,1,0,Success,Thành công,Success,Thành công
15124,1019,1000133985,1,0,Success,Thành công,Success,Thành công
15125,1019,1000133985,2,0,Failure,Thất bại,Failure,Thất bại
15126,1019,1000133555,0,0,Type,Phân loại,Type,Phân loại
15127,1019,1000133613,2,0,OTSC,OTSC,OTSC,OTSC
15128,1019,1000133613,1,0,TTS,TTS,TTS,TTS
15129,1019,1000133613,0,0,Type,Phân loại,Type,Phân loại
15130,1019,1000133586,2,0,OTSC,OTSC,OTSC,OTSC
15131,1019,1000133586,1,0,TTS,TTS,TTS,TTS
15132,1019,1000133586,0,0,Type,Phân loại,Type,Phân loại
15133,1019,1000133555,2,0,OTSC,OTSC,OTSC,OTSC
15134,1019,1000133555,1,0,TTS,TTS,TTS,TTS
15135,1019,1000133556,0,0,Result,Kết quả,Result,Kết quả
15136,1019,1000133614,2,0,Failure,Thất bại,Failure,Thất bại
15137,1019,1000133614,1,0,Success,Thành công,Success,Thành công
15138,1019,1000133614,0,0,Result,Kết quả,Result,Kết quả
15139,1019,1000133587,2,0,Failure,Thất bại,Failure,Thất bại
15140,1019,1000133587,1,0,Success,Thành công,Success,Thành công
15141,1019,1000133587,0,0,Result,Kết quả,Result,Kết quả
15142,1019,1000133556,2,0,Failure,Thất bại,Failure,Thất bại
15143,1019,1000133556,1,0,Success,Thành công,Success,Thành công
15144,1019,1000133557,0,0,Result,Kết quả,Result,Kết quả
15145,1019,1000133588,2,0,Failure,Thất bại,Failure,Thất bại
15146,1019,1000133588,1,0,Success,Thành công,Success,Thành công
15147,1019,1000133588,0,0,Result,Kết quả,Result,Kết quả
15148,1019,1000133557,2,0,Failure,Thất bại,Failure,Thất bại
15149,1019,1000133557,1,0,Success,Thành công,Success,Thành công
